Beta_Risk_Band,Industry,Signal_Count,Unique_Tickers,Mean_Forward_1D_Return_Pct,Median_Forward_1D_Return_Pct,Positive_Rate_Forward_1D_Return_Pct,Mean_Forward_5D_Return_Pct,Median_Forward_5D_Return_Pct,Positive_Rate_Forward_5D_Return_Pct,Mean_Forward_10D_Return_Pct,Median_Forward_10D_Return_Pct,Positive_Rate_Forward_10D_Return_Pct,Mean_Forward_21D_Return_Pct,Median_Forward_21D_Return_Pct,Positive_Rate_Forward_21D_Return_Pct,Mean_Forward_63D_Return_Pct,Median_Forward_63D_Return_Pct,Positive_Rate_Forward_63D_Return_Pct,Mean_Forward_126D_Return_Pct,Median_Forward_126D_Return_Pct,Positive_Rate_Forward_126D_Return_Pct,Median_MAE_21D_Pct,Median_MFE_21D_Pct,Median_Realized_Volatility_21D_Annualized_Pct,Median_MAE_63D_Pct,Median_MFE_63D_Pct,Median_Realized_Volatility_63D_Annualized_Pct
BALANCED,Computer Software: Prepackaged Software,1,1,-0.8960176125499819,-0.8960176125499819,0.0,-15.562363824256964,-15.562363824256964,0.0,-14.760665748776681,-14.760665748776681,0.0,-2.0631926506677223,-2.0631926506677223,0.0,39.86087913256249,39.86087913256249,100.0,116.98892208671947,116.98892208671947,100.0,-23.555769192195353,0.66021876987572,73.33185803395469,-23.555769192195353,44.74180274084336,48.84553176528695
BALANCED,Industrial Machinery/Components,118,2,-0.046788196862359396,-0.07690174325838406,48.30508474576271,0.13916176526671323,0.5460205142174712,61.016949152542374,0.9463525186505122,1.153952040763928,65.2542372881356,2.2359537332039983,1.6160922415626056,67.79661016949152,6.675613599665892,5.526957036453528,72.88135593220339,11.688706136405106,13.810781056426247,74.57627118644068,-2.9171843153299792,4.4644096416511125,21.65890536988718,-4.911801553527578,12.19911943317793,24.62544649796048
BALANCED,Marine Transportation,80,1,0.10921137382236032,-0.14099577041866151,46.25,1.0680353370125926,0.313861392258763,52.5,1.4384172272095084,1.2523347614985747,58.22784810126582,2.902405693218935,3.610825929290029,67.08860759493672,6.031142851143274,4.83541406339667,67.08860759493672,9.259005948057393,5.862730473048927,60.273972602739725,-4.637683120098379,9.535742617843779,32.98302688388872,-8.925049788884342,14.457172010694052,37.17221053602706
BALANCED,Medical Specialities,72,1,-0.04970469738270136,-0.15196065653434454,45.83333333333333,-0.050590549620869694,-0.29442562344381695,47.88732394366197,0.5070232567973928,0.9533657912918159,55.714285714285715,0.07037666391062156,0.46478796364428643,50.74626865671642,-4.7307478718224925,-7.189305920254485,31.666666666666664,10.636849987701213,15.106825402164613,65.45454545454545,-6.110810732791849,7.040602555180264,35.491634345464455,-17.088585623318856,9.937297328490224,36.260335168045884
BALANCED,Metal Fabrications,81,1,-0.035163698532718834,0.07793518499468188,53.086419753086425,-0.9251044068640538,-0.5665229648674219,44.44444444444444,-0.7515065157891146,-0.39017174423101597,44.44444444444444,-0.18773798673591938,-0.028207597298812725,49.382716049382715,1.4377217023845368,-0.23830570594353118,49.382716049382715,7.996955937505157,8.409270001104474,78.08219178082192,-7.000721811401589,6.1395334642986965,33.64621029073977,-12.349443664971439,10.894779519018115,40.30969421343268
BALANCED,Railroads,74,1,-0.1282815343310358,-0.12154367379159092,47.2972972972973,-0.5244538710143766,-0.5152442294520998,43.24324324324324,-1.0231966428680448,-0.4220041087395321,44.5945945945946,-1.0079082423050778,-0.5775146173992385,47.2972972972973,-0.48911271270832307,-3.0661655028659474,47.82608695652174,0.2448452362372508,-0.7910745027907007,42.64705882352941,-4.698430444895452,3.2805573851487857,22.325632177562653,-10.507745191907336,5.667536557431507,25.46242037626888
DEFENSIVE,Computer Software: Prepackaged Software,15,1,-0.2292471403288861,-0.42864081080877803,40.0,1.1272669694468676,-0.36006127323167103,46.666666666666664,2.9572259055271033,1.8700614028172247,60.0,-0.5554144889185294,-2.352945123030903,40.0,-5.251172510926443,-9.913685956115337,33.33333333333333,30.153543860114517,30.14853791700216,100.0,-14.18626948885895,13.808668932244728,60.624513203148766,-26.323421974408788,15.748125593078477,67.18277626779931
DEFENSIVE,Marine Transportation,8,1,-0.8732161301147525,-0.721016094914595,37.5,-4.243263442505226,-4.813232028157227,12.5,-5.888769739753228,-7.189719593964655,12.5,-8.058109574487982,-10.166059322180448,12.5,-12.371550304045,-12.444627319046603,0.0,-28.729176173094544,-27.85268907468616,0.0,-12.815485824895195,0.4978902637139515,26.00312659143093,-14.7660807022555,1.9502943385990679,26.944900819568744
DEFENSIVE,Railroads,26,1,-0.02385802075525019,0.06339573071588167,50.0,0.09203999858294803,0.21834561241091954,52.0,-0.33049917929306316,-1.0997245478364392,37.5,1.440427920519728,1.7408624194914735,61.904761904761905,10.174949049474916,11.586900203439843,86.66666666666667,7.394567304624045,7.862390510585044,50.0,-4.069389092024411,4.868994714811814,23.042769619773544,-6.27090282335433,13.564277460165552,24.7080824616197
HIGH_SENSITIVITY,Computer Software: Prepackaged Software,57,1,0.41624422619205903,0.6566198950124891,63.1578947368421,1.5424653340895091,1.5889929867511254,64.28571428571429,2.20408480335181,1.699872638893396,63.63636363636363,6.404162238090003,3.3437490463256836,74.54545454545455,10.901956796019716,5.380736695265154,56.36363636363636,5.218165763068464,-3.8303579602922744,40.0,-6.314815532367857,11.807581482710905,38.653623799354065,-13.002155497432444,26.336246911819106,47.98584284817155
