Stage,Sector,Transition,Rows,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D3_Positive_Rate_Pct,D3_Mean_Return_Pct
FOUNDATION,ALL,BOTH,245,51.83673469387755,0.4173832033869364,53.46938775510204,0.4659274759655148
FOUNDATION,ALL,STANDARD_ONLY,56,76.78571428571429,0.7843083952596485,71.42857142857143,1.0773831628138353
FOUNDATION,ALL,FIBONACCI_ONLY,29,68.96551724137932,0.6767433230404682,55.172413793103445,1.6454786853896395
FOUNDATION,ALL,NEITHER,870,59.195402298850574,0.4024895224389443,67.1264367816092,1.5633675281000214
FOUNDATION,Technology,BOTH,107,59.81308411214953,0.8979337290305212,52.33644859813084,0.2522866628190837
FOUNDATION,Technology,STANDARD_ONLY,39,76.92307692307692,0.7807639492677569,71.7948717948718,1.143103152378702
FOUNDATION,Technology,FIBONACCI_ONLY,18,66.66666666666667,0.4702488349325961,55.55555555555556,0.2863255052247142
FOUNDATION,Technology,NEITHER,436,59.862385321100916,0.48394507450863294,67.20183486238533,1.9982138549195174
FOUNDATION,Industrials,BOTH,138,45.65217391304348,0.044782433503867076,54.34782608695652,0.6315765122457186
FOUNDATION,Industrials,STANDARD_ONLY,17,76.47058823529412,0.7924397713586936,70.58823529411765,0.9266137749885535
FOUNDATION,Industrials,FIBONACCI_ONLY,11,72.72727272727273,1.0146433944897135,54.54545454545455,3.8695475256595175
FOUNDATION,Industrials,NEITHER,434,58.525345622119815,0.3206585991615612,67.05069124423963,1.1265173011569338
HEALTH_QUALIFIED,ALL,BOTH,65,53.84615384615385,0.49838582790918873,58.46153846153846,0.8493687817095124
HEALTH_QUALIFIED,ALL,STANDARD_ONLY,22,81.81818181818181,0.6961438658967438,77.27272727272727,1.3194906569906018
HEALTH_QUALIFIED,ALL,FIBONACCI_ONLY,12,66.66666666666667,0.5545625264449489,75.0,2.187275725238417
HEALTH_QUALIFIED,ALL,NEITHER,1101,58.49227974568574,0.41926121859512244,64.21435059037239,1.3368294696500196
HEALTH_QUALIFIED,Technology,BOTH,25,64.0,1.2624542751789143,64.0,0.9346339626480318
HEALTH_QUALIFIED,Technology,STANDARD_ONLY,17,82.3529411764706,0.7886501678494016,82.3529411764706,1.551791469606736
HEALTH_QUALIFIED,Technology,FIBONACCI_ONLY,9,55.55555555555556,0.3803446371935847,66.66666666666667,1.35882749143319
HEALTH_QUALIFIED,Technology,NEITHER,549,60.4735883424408,0.5420796413016467,63.9344262295082,1.6137978947740468
HEALTH_QUALIFIED,Industrials,BOTH,40,47.5,0.02084304836561024,55.0,0.7960780436229378
HEALTH_QUALIFIED,Industrials,STANDARD_ONLY,5,80.0,0.3816224392577072,60.0,0.5296678940957444
HEALTH_QUALIFIED,Industrials,FIBONACCI_ONLY,3,100.0,1.0772161941990415,100.0,4.672620426654099
HEALTH_QUALIFIED,Industrials,NEITHER,552,56.52173913043478,0.2971102873163511,64.4927536231884,1.0613663077060145
